,Player,height,weight,born
2372,Jamie Watson,201,86,1972
2373,Monty Williams,203,102,1971
2374,Dontonio Wingfield,203,116,1974
2375,Sharone Wright,211,117,1973
2376,Cory Alexander,185,83,1973
2377,Jerome Allen,193,83,1973
2378,John Amaechi,208,122,1970
2379,Ashraf Amaya,203,104,1971
2380,Brent Barry,198,83,1971
2381,Corey Beck,185,86,1971
2382,Mario Bennett,198,106,1973
2383,Travis Best,180,82,1972
2384,Melvin Booker,185,83,1972
2385,Donnie Boyce,196,88,1973
2386,Marques Bragg,203,104,1970
2387,Junior Burrough,203,109,1973
2388,Jason Caffey,203,115,1973
2389,Chris Carr,196,93,1974
2390,Randolph Childress,188,85,1972
2391,Robert Churchwell,198,88,1972
2392,Charles Claxton,213,120,1970
2393,John Coker,213,114,1971
2394,Rastko Cvetkovic,216,117,1970
2395,Sasha Danilovic,196,90,1970
2396,Andrew DeClercq,208,104,1973
2397,Tyus Edney,178,68,1973
2398,Vincenzo Esposito,190,89,1969
2399,Michael Finley,201,97,1973
2400,Sherell Ford,201,95,1972
2401,Kevin Garnett,211,108,1976
2402,Anthony Goldwire,185,82,1971
2403,Thomas Hamilton,218,149,1975
2404,Alvin Heggs,203,102,1967
2405,Alan Henderson,206,106,1972
2406,Fred Hoiberg,193,92,1972
2407,Darryl Johnson,201,95,1970
2408,Frankie King,185,83,1972
2409,Jimmy King,188,79,1941
2410,Voshon Lenard,193,92,1973
2411,Cedric Lewis,208,106,1969
2412,Martin Lewis,196,95,1975
2413,Rich Manning,211,114,1970
2414,Donny Marshall,206,98,1973
2415,Cuonzo Martin,196,96,1971
2416,Clint McDaniel,193,81,1972
2417,Antonio McDyess,206,99,1974
2418,Loren Meyer,208,116,1972
2419,Lawrence Moten,196,83,1972
2420,Todd Mundt,213,113,1970
2421,Howard Nathan,180,79,1972
2422,Ed O'Bannon,203,100,1972
2423,Greg Ostertag,218,127,1973
2424,Cherokee Parks,196,95,1973
2425,Theo Ratliff,208,102,1973
2426,Bryant Reeves,213,124,1973
2427,Don Reid,203,113,1973
2428,Terrence Rencher,190,83,1973
2429,Shawn Respert,185,88,1972
2430,Lou Roe,201,99,1972
2431,Stefano Rusconi,206,108,1968
2432,Arvydas Sabonis*,221,126,1964
2433,Joe Smith,213,106,1944
2434,Eric Snow,190,86,1973
2435,Jerry Stackhouse,198,98,1974
2436,Damon Stoudamire,178,77,1973
2437,Bob Sura,196,90,1973
2438,Larry Sykes,206,115,1973
2439,Kurt Thomas,206,104,1972
2440,Gary Trent,203,113,1974
2441,Logan Vander,203,97,1971
2442,David Vaughn,211,99,1952
2443,Rasheed Wallace,208,102,1974
2444,Jeff Webster,203,105,1971
2445,Dwayne Whitfield,206,108,1972
2446,Eric Williams,203,99,1972
2447,Corliss Williamson,188,86,1970
2448,George Zidek,213,113,1973
2449,Shareef Abdur-Rahim,206,102,1976
2450,Ray Allen,203,99,1965
2451,Shandon Anderson,198,94,1973
2452,Dexter Boney,193,83,1970
2453,Bruce Bowen,201,83,1971
2454,Mark Bradtke,208,120,1968
2455,Marcus Brown,190,83,1974
2456,Kobe Bryant,198,96,1978
2457,Marcus Camby,211,99,1974
2458,Jimmy Carruth,208,120,1969
2459,Erick Dampier,211,120,1975
2460,Ben Davis,206,108,1972
2461,Emanual Davis,193,88,1968
2462,Tony Delk,185,85,1974
2463,Aleksandar Djordjevic,188,89,1967
2464,Nate Driggers,196,97,1973
2465,Brian Evans,203,99,1973
2466,Jamie Feick,206,115,1974
2467,Derek Fisher,185,90,1974
2468,Todd Fuller,193,81,1958
2469,Dean Garrett,208,102,1966
2470,Reggie Geary,188,84,1973
2471,Devin Gray,201,108,1972
2472,Evric Gray,201,106,1969
2473,Darvin Ham,201,99,1973
2474,Steve Hamer,213,111,1973
2475,Othella Harrington,206,106,1974
2476,Michael Hawkins,183,80,1972
2477,Shane Heal,183,81,1970
2478,Mark Hendrickson,206,99,1974
2479,Allen Iverson*,183,74,1975
2480,Kerry Kittles,196,81,1974
2481,Travis Knight,213,106,1974
2482,Priest Lauderdale,224,147,1973
2483,Randy Livingston,193,94,1975
2484,Horacio Llamas,211,129,1973
2485,Matt Maloney,190,87,1971
2486,Stephon Marbury,188,81,1977
2487,Walter McCarty,208,104,1974
2488,Amal McCaskill,211,106,1973
2489,Jeff McInnis,193,86,1974
2490,Martin Muursepp,206,106,1974
2491,Steve Nash,190,88,1974
2492,Ruben Nembhard,190,94,1972
2493,Gaylon Nickerson,190,86,1969
2494,Moochie Norris,185,79,1973
2495,Jermaine O'Neal,211,102,1978
2496,Ray Owes,206,101,1972
2497,Vitaly Potapenko,208,127,1975
2498,Chris Robinson,196,90,1974
2499,Roy Rogers,201,106,1971
2500,Malik Rose,201,113,1974
2501,Kevin Salvadori,213,104,1970
2502,Jason Sasser,201,102,1974
2503,Brent Scott,208,113,1971
2504,James Scott,198,81,1972
2505,Shawnelle Scott,208,113,1972
2506,Stevin Smith,201,90,1969
2507,Matt Steigenga,201,102,1970
2508,Joe Stephens,201,95,1973
2509,Erick Strickland,190,95,1973
2510,Brett Szabo,211,104,1968
2511,Antoine Walker,193,86,1955
2512,Samaki Walker,206,108,1976
2513,Ben Wallace,206,108,1974
2514,John Wallace,203,102,1974
2515,Donald Whiteside,178,72,1969
2516,Jerome Williams,206,93,1973
2517,Lorenzen Wright,188,92,1945
2518,Tariq Abdul-Wahad,198,101,1974
2519,Derek Anderson,196,87,1974
2520,Chris Anstey,213,112,1975
2521,Drew Barry,196,86,1973
2522,Tony Battie,211,104,1976
2523,Chauncey Billups,190,91,1976
2524,Etdrick Bohannon,206,99,1973
2525,Keith Booth,198,102,1974
2526,Rick Brunson,193,86,1972
2527,Kelvin Cato,211,115,1974
2528,Keith Closs,221,96,1976
2529,James Collins,193,88,1973
2530,James Cotton,201,90,1924
2531,Chris Crawford,206,106,1975
2532,Austin Croshere,206,106,1975
2533,William Cunningham,211,113,1974
2534,Antonio Daniels,193,88,1975
2535,Tim Duncan,211,113,1976
2536,Tony Farmer,206,110,1970
2537,Danny Fortson,201,117,1976
2538,Adonal Foyle,208,113,1975
2539,Lawrence Funderburke,206,104,1970
2540,Chris Garner,178,70,1975
2541,Kiwane Garris,188,83,1974
2542,Ed Gray,190,95,1975
2543,Derek Grimm,206,104,1974
2544,Reggie Hanson,203,88,1968
2545,Jerald Honeycutt,206,111,1974
2546,Troy Hudson,185,77,1976
2547,Zydrunas Ilgauskas,221,107,1975
2548,Bobby Jackson,185,83,1973
2549,Anthony Johnson,196,97,1932
2550,Dontae' Jones,203,99,1975
2551,Brevin Knight,178,78,1975
2552,Rusty LaRue,188,95,1973
2553,Jason Lawson,211,108,1974
2554,Michael McDonald,208,105,1969
2555,Tracy McGrady,203,95,1979
2556,Ron Mercer,201,95,1976
2557,Marko Milic,198,106,1977
2558,Jeff Nordgaard,201,102,1973
2559,Charles O'Bannon,196,94,1975
2560,Kevin Ollie,193,88,1972
2561,Anthony Parker,198,97,1975
2562,Scot Pollard,211,120,1975
2563,Mark Pope,208,106,1972
2564,Rodrick Rhodes,198,102,1973
2565,Shea Seals,196,95,1975
2566,God Shammgod,183,76,1976
2567,Kebu Stewart,203,108,1973
2568,Michael Stewart,208,104,1975
2569,Ed Stokes,213,119,1971
2570,Johnny Taylor,206,99,1974
2571,Maurice Taylor,206,117,1976
2572,John Thomas,198,92,1948
2573,Tim Thomas,208,104,1977
2574,Keith Van,208,104,1977
2575,Jacque Vaughn,185,86,1975
2576,Eric Washington,193,86,1974
2577,Bubba Wells,196,104,1974
2578,DeJuan Wheat,183,74,1973
2579,Alvin Williams,198,90,1948
2580,Brandon Williams,198,97,1975
2581,Travis Williams,198,97,1969
2582,Peter Aluma,208,117,1973
2583,Toby Bailey,198,96,1975
2584,LaMark Baker,185,79,1969
2585,Corey Benjamin,198,90,1978
2586,Mike Bibby,185,86,1978
2587,Earl Boykins,165,61,1976
2588,Gerald Brown,198,86,1935
2589,Cory Carr,190,95,1975
2590,Vince Carter,198,99,1977
2591,Keon Clark,211,99,1975
2592,Kornel David,206,106,1971
2593,Ricky Davis,198,88,1979
2594,Michael Dickerson,196,86,1975
2595,Michael Doleac,211,118,1977
2596,Bryce Drew,188,83,1974
2597,Marlon Garnett,188,84,1975
2598,Pat Garrity,206,107,1976
2599,Paul Grant,213,111,1974
2600,Matt Harpring,201,104,1976
2601,Al Harrington,206,104,1980
2602,J.R. Henderson,206,104,1980
2603,Larry Hughes,196,83,1979
2604,Randell Jackson,188,86,1962
2605,Sam Jacobson,193,97,1975
2606,Jerome James,213,136,1975
2607,Antawn Jamison,203,101,1976
2608,Damon Jones,190,83,1976
2609,Jonathan Kerner,211,111,1974
2610,Gerard King,183,79,1928
2611,Raef LaFrentz,211,108,1976
2612,Rashard Lewis,198,90,1963
2613,Felipe Lopez,196,90,1974
2614,Tyronn Lue,183,79,1977
2615,Sean Marks,208,113,1975
2616,Kelly McCarty,201,90,1975
2617,Jelani McCoy,208,111,1977
2618,Roshown McLeod,203,100,1975
2619,Brad Miller,211,110,1976
2620,Cuttino Mobley,193,86,1975
2621,Nazr Mohammed,208,100,1977
2622,Mikki Moore,211,102,1975
2623,Makhtar N'Diaye,203,111,1973
2624,Tyrone Nesby,198,102,1976
2625,Rasho Nesterovic,213,112,1976
2626,Dirk Nowitzki,213,111,1978
2627,Michael Olowokandi,213,122,1975
2628,Andrae Patterson,206,107,1975
2629,Ruben Patterson,196,101,1975
2630,Paul Pierce,201,106,1977
2631,Casey Shaw,211,117,1975
2632,Jeffrey Sheppard,190,86,1974
2633,Miles Simon,190,91,1975
2634,Alvin Sims,193,106,1974
2635,Brian Skinner,206,115,1976
2636,Ryan Stack,211,97,1975
2637,Vladimir Stepania,213,107,1976
2638,Peja Stojakovic,206,99,1977
2639,Bruno Sundov,218,99,1980
2640,Robert Traylor,203,128,1977
2641,Bonzi Wells,196,95,1976
2642,Tyson Wheeler,178,74,1975
2643,Jahidi White,206,131,1976
2644,Jason Williams,206,108,1968
2645,Shammond Williams,185,91,1975
2646,Trevor Winter,213,124,1974
2647,Korleone Young,201,96,1978
2648,Rafer Alston,188,77,1976
2649,Chucky Atkins,180,72,1974
2650,William Avery,188,89,1979
2651,Jonathan Bender,211,91,1981
2652,Calvin Booth,211,104,1976
2653,Lazaro Borrell,203,99,1972
2654,Cal Bowdler,208,111,1977
2655,Ryan Bowen,201,97,1975
2656,Ira Bowman,196,88,1973
2657,A.J. Bramlett,196,88,1973
2658,Elton Brand,203,124,1979
2659,Greg Buckner,193,95,1976
2660,Rodney Buford,196,85,1977
2661,Anthony Carter,185,86,1975
2662,John Celestand,193,80,1977
2663,Vonteego Cummings,190,83,1976
2664,Baron Davis,190,94,1979
2665,Derrick Dial,193,83,1975
2666,Obinna Ekezie,206,122,1975
2667,Evan Eschmeyer,211,115,1975
2668,Jeff Foster,211,107,1977
2669,Steve Francis,190,88,1977
2670,Devean George,203,99,1977
2671,Dion Glover,196,103,1978
2672,Adrian Griffin,196,98,1974
2673,Richard Hamilton,198,83,1978
2674,Chris Herren,188,89,1975
2675,Derek Hood,203,100,1976
2676,Rick Hughes,196,97,1962
2677,Jermaine Jackson,193,92,1976
2678,Tim James,201,96,1976
2679,Harold Jamison,203,117,1976
2680,DeMarco Johnson,193,83,1954
2681,Jumaine Jones,203,98,1979
2682,Lari Ketner,206,125,1977
2683,Trajan Langdon,190,89,1976
2684,Quincy Lewis,201,97,1977
2685,Todd MacCulloch,213,127,1976
2686,Corey Maggette,198,98,1979
2687,Shawn Marion,201,99,1978
2688,Andre Miller,206,102,1971
2689,Jason Miskiri,188,79,1975
2690,Lamar Odom,208,99,1979
2691,Scott Padgett,206,108,1976
2692,Milt Palacio,190,88,1978
2693,James Posey,203,97,1977
2694,Laron Profit,196,92,1977
2695,Aleksandar Radojevic,221,113,1976
2696,Ryan Robertson,196,86,1976
2697,Eddie Robinson,203,95,1976
2698,Michael Ruffin,206,111,1977
2699,Wally Szczerbiak,198,95,1949
2700,Jason Terry,188,83,1977
2701,Jamel Thomas,198,97,1973
2702,Kenny Thomas,201,118,1977
2703,Mirsad Turkcan,206,107,1976
2704,Wayne Turner,188,86,1976
2705,Dedric Willoughby,190,81,1974
2706,Metta World,190,81,1974
2707,Tim Young,213,99,1976
2708,Courtney Alexander,185,83,1973
2709,Dalibor Bagaric,216,115,1980
2710,Erick Barkley,185,80,1978
2711,Raja Bell,196,92,1976
2712,Mark Blount,213,104,1975
2713,Brian Cardinal,203,111,1977
2714,Mateen Cleaves,188,92,1977
2715,Jason Collier,193,88,1973
2716,Sean Colson,183,79,1975
2717,Jamal Crawford,196,90,1980
2718,Keyon Dooling,190,88,1980
2719,Khalid El-Amin,178,90,1979
2720,Marcus Fizer,206,118,1978
2721,Ruben Garces,206,111,1973
2722,Eddie Gill,183,86,1978
2723,Steve Goodrich,208,99,1976
2724,A.J. Guyton,208,99,1976
2725,Zendon Hamilton,211,113,1975
2726,Jason Hart,190,83,1978
2727,Donnell Harvey,203,99,1980
2728,Eddie House,185,81,1978
2729,Marc Jackson,185,81,1965
2730,Stephen Jackson,190,83,1970
2731,DerMarr Johnson,193,83,1954
2732,Garth Joseph,218,142,1973
2733,Dan Langhi,211,99,1977
2734,Art Long,206,113,1972
2735,Mark Madsen,206,108,1976
2736,Jamaal Magloire,211,117,1978
2737,Kenyon Martin,206,106,1977
2738,Desmond Mason,201,101,1977
2739,Dan McClintock,213,122,1977
2740,Paul McPherson,193,95,1978
2741,Stanislav Medvedenko,208,113,1979
2742,Chris Mihm,213,120,1979
2743,Darius Miles,206,95,1981
2744,Mike Miller,203,98,1980
2745,Jerome Moiso,208,106,1978
2746,Hanno Mottola,211,112,1976
2747,Mamadou N'Diaye,203,111,1973
2748,Lee Nailon,206,107,1975
2749,Eduardo Najera,203,108,1976
2750,Ira Newble,201,99,1975
2751,Olumide Oyedeji,208,108,1981
2752,Andy Panko,206,100,1977
2753,Mike Penberthy,190,83,1974
2754,Morris Peterson,201,98,1977
2755,Chris Porter,201,98,1978
2756,Lavor Postell,196,97,1978
2757,Joel Przybilla,216,115,1979
2758,Michael Redd,198,99,1979
2759,Quentin Richardson,198,101,1980
2760,Terrance Roberson,201,97,1976
2761,Jamal Robinson,198,95,1955
2762,Soumaila Samake,213,104,1978
2763,Pepe Sanchez,193,88,1977
2764,Daniel Santiago,216,116,1976
2765,Jabari Smith,211,113,1977
2766,Mike Smith,208,102,1965
2767,DeShawn Stevenson,196,95,1981
2768,Stromile Swift,206,102,1979
2769,Dragan Tarlac,208,117,1973
2770,Jake Tsakalidis,218,129,1979
2771,Hedo Turkoglu,208,99,1979
2772,David Vanterpool,196,90,1973
2773,Jake Voskuhl,211,111,1977
2774,Ruben Wolkowyski,208,122,1973
2775,Wang Zhizhi,213,115,1977
2776,Malik Allen,208,115,1978
2777,Chris Andersen,208,111,1978
2778,Gilbert Arenas,190,86,1982
2779,Brandon Armstrong,196,85,1980
2780,Carlos Arroyo,188,91,1979
2781,Mengke Bateer,211,131,1975
2782,Shane Battier,203,99,1978
2783,Charlie Bell,190,90,1979
2784,Ruben Boumtje-Boumtje,213,116,1978
2785,Michael Bradley,208,111,1979
2786,Jamison Brewer,193,83,1980
2787,Primoz Brezec,218,114,1979
2788,Damone Brown,188,79,1923
2789,Ernest Brown,213,110,1979
2790,Kedrick Brown,201,100,1981
2791,Kwame Brown,211,122,1982
2792,Tierre Brown,188,85,1979
2793,Tyson Chandler,216,108,1982
2794,Speedy Claxton,180,75,1978
2795,Jarron Collins,193,88,1973
2796,Jason Collins,193,88,1973
2797,Joe Crispin,183,83,1979
2798,Eddy Curry,213,133,1982
2799,Samuel Dalembert,211,115,1981
2800,DeSagana Diop,213,136,1982
2801,Predrag Drobnjak,211,122,1975
2802,Maurice Evans,196,99,1978
2803,Isaac Fontaine,193,95,1975
2804,Alton Ford,185,86,1971
2805,Joseph Forte,193,87,1981
2806,Antonis Fotsis,208,99,1981
2807,Tremaine Fowlkes,203,99,1976
2808,Pau Gasol,213,113,1980
2809,Eddie Griffin,208,99,1982
2810,Tang Hamilton,203,99,1978
2811,Trenton Hassell,196,90,1979
2812,Kirk Haston,206,109,1979
2813,Brendan Haywood,213,121,1979
2814,Steven Hunter,213,99,1981
2815,Mike James,188,85,1975
2816,Richard Jefferson,201,105,1980
2817,Joe Johnson,201,90,1947
2818,Alvin Jones,211,120,1978
2819,Andrei Kirilenko,206,99,1981
2820,Terence Morris,206,100,1979
2821,Troy Murphy,211,111,1980
2822,Dean Oliver,180,81,1978
2823,Tony Parker,188,83,1982
2824,Vladimir Radmanovic,208,102,1980
2825,Zach Randolph,206,117,1981
2826,Zeljko Rebraca,213,116,1972
2827,Jason Richardson,198,99,1981
2828,Norm Richardson,196,86,1979
2829,Jeryl Sasser,198,90,1979
2830,Kenny Satterfield,188,84,1981
2831,Brian Scalabrine,206,109,1978
2832,Ansu Sesay,206,102,1976
2833,Bobby Simmons,201,95,1980
2834,Leon Smith,208,106,1980
2835,Will Solomon,185,83,1978
2836,Etan Thomas,206,116,1978
2837,Jamaal Tinsley,190,88,1978
2838,Oscar Torres,198,95,1976
2839,Jeff Trepagnier,193,90,1979
2840,Ratko Varda,216,117,1979
2841,Gerald Wallace,201,97,1982
2842,Earl Watson,185,88,1979
2843,Rodney White,203,95,1959
2844,Loren Woods,216,111,1978
2845,Robert Archibald,211,113,1980
2846,Maceo Baston,206,97,1975
2847,Mike Batiste,203,102,1977
2848,Lonny Baxter,203,117,1979
2849,Carlos Boozer,206,117,1981
2850,J.R. Bremer,206,117,1981
2851,Devin Brown,185,72,1968
2852,Pat Burke,211,113,1973
2853,Caron Butler,201,103,1980
2854,Rasual Butler,201,97,1979
2855,Dan Dickau,183,86,1978
2856,Juan Dixon,190,74,1978
2857,Melvin Ely,208,117,1978
2858,Reggie Evans,203,111,1980
2859,Dan Gadzuric,211,108,1978
2860,Manu Ginobili,198,92,1977
2861,Gordan Giricek,198,95,1977
2862,Drew Gooden,208,113,1981
2863,Marcus Haislip,208,104,1980
2864,Adam Harrington,196,90,1980
2865,Junior Harrington,193,81,1980
2866,Juaquin Hawkins,201,99,1973
2867,Nene Hilario,211,113,1982
2868,Nate Huffman,216,111,1975
2869,Ryan Humphrey,203,106,1979
2870,Casey Jacobsen,198,97,1981
2871,Marko Jaric,201,89,1978
2872,Chris Jefferies,203,102,1980
2873,Jared Jeffries,211,104,1981
2874,Fred Jones,193,95,1979
2875,Sean Lampley,201,102,1979
2876,Tito Maddox,193,86,1981
2877,Roger Mason,196,90,1980
2878,Yao Ming*,229,140,1980
2879,Ronald Murray,193,86,1979
2880,Bostjan Nachbar,206,100,1980
2881,Mehmet Okur,211,112,1979
2882,Chris Owens,201,111,1979
2883,Jannero Pargo,185,79,1979
2884,Smush Parker,193,86,1981
2885,Tayshaun Prince,206,96,1980
2886,Igor Rakocevic,190,83,1978
2887,Efthimi Rentzias,211,113,1976
2888,Antoine Rigaudeau,201,95,1971
2889,Guy Rucker,211,120,1977
2890,Kareem Rush,198,97,1980
2891,John Salmons,201,95,1979
2892,Jamal Sampson,211,106,1983
2893,Predrag Savovic,198,102,1976
2894,Paul Shirley,208,104,1977
2895,Tamar Slay,203,97,1980
2896,Amar'e Stoudemire,208,111,1982
2897,Cezary Trybanski,218,108,1979
2898,Nikoloz Tskitishvili,213,102,1983
2899,Dajuan Wagner,183,77,1922
2900,Jiri Welsch,201,94,1980
2901,Chris Wilcox,208,100,1982
2902,Mike Wilks,178,83,1979
2903,Frank Williams,193,86,1956
2904,Jay Williams,206,108,1968
2905,Qyntel Woods,203,100,1981
2906,Vincent Yarbrough,201,95,1981
2907,Carmelo Anthony,203,108,1984
2908,Marcus Banks,188,90,1981
2909,Leandro Barbosa,190,87,1982
2910,Matt Barnes,203,95,1952
2911,Jerome Beasley,208,107,1980
2912,Troy Bell,185,81,1980
2913,Steve Blake,190,78,1980
2914,Keith Bogans,196,97,1980
2915,Curtis Borchardt,213,108,1980
2916,Chris Bosh,211,106,1984
2917,Torraye Braggs,203,111,1976
2918,Zarko Cabarkapa,211,106,1981
2919,Matt Carroll,198,96,1980
2920,Maurice Carter,196,95,1976
2921,Brian Cook,206,106,1980
2922,Omar Cook,185,86,1982
2923,Marquis Daniels,198,90,1981
2924,Josh Davis,188,77,1955
2925,Boris Diaw,203,113,1982
2926,Kaniel Dickens,203,97,1978
2927,Ronald Dupree,201,94,1981
2928,Ndudi Ebi,206,90,1984
2929,Francisco Elson,213,106,1976
2930,Desmond Ferguson,201,92,1977
2931,T.J. Ford,201,92,1977
2932,Richie Frahm,196,95,1977
2933,Hiram Fuller,206,108,1981
2934,Reece Gaines,198,92,1981
2935,Alex Garcia,190,99,1980
2936,Willie Green,193,90,1981
2937,Ben Handlogten,208,108,1973
2938,Travis Hansen,198,92,1978
2939,Udonis Haslem,203,106,1980
2940,Jarvis Hayes,201,99,1981
2941,Kirk Hinrich,193,86,1981
2942,Josh Howard,201,95,1980
2943,Brandon Hunter,201,117,1980
2944,LeBron James,203,113,1984
2945,Britton Johnsen,208,95,1979
2946,Linton Johnson,203,92,1980
2947,Dahntay Jones,190,83,1976
2948,James Jones,190,81,1949
2949,Chris Kaman,213,120,1982
2950,Jason Kapono,203,96,1981
2951,Kyle Korver,201,96,1981
2952,Maciej Lampe,211,124,1985
2953,Raul Lopez,185,77,1980
2954,Keith McLeod,188,85,1979
2955,Darko Milicic,213,113,1985
2956,Travis Outlaw,206,95,1984
2957,Zaza Pachulia,211,122,1984
2958,Sasha Pavlovic,211,122,1984
2959,Desmond Penigar,201,111,1981
2960,Kirk Penney,196,99,1980
2961,Kendrick Perkins,208,122,1984
2962,Mickael Pietrus,198,97,1982
2963,Zoran Planinic,201,88,1982
2964,Luke Ridnour,188,79,1981
2965,Theron Smith,203,102,1980
2966,Darius Songaila,206,112,1978
2967,Mike Sweetney,203,124,1982
2968,Ime Udoka,198,97,1977
2969,Slavko Vranes,226,124,1983
2970,Dwyane Wade,193,99,1982
2971,Luke Walton,203,106,1980
2972,David West,206,113,1980
2973,Mo Williams,203,102,1971
2974,Tony Allen,193,96,1982
2975,Rafael Araujo,211,127,1980
2976,Trevor Ariza,203,97,1985
2977,Maurice Baker,185,79,1979
2978,Andre Barrett,178,78,1982
2979,Andris Biedrins,211,108,1986
2980,Tony Bobbitt,193,86,1979
2981,Matt Bonner,208,106,1980
2982,Antonio Burks,185,90,1980
2983,Jackie Butler,208,113,1985
2984,Geno Carlisle,190,81,1976
2985,Lionel Chalmers,183,81,1980
2986,Josh Childress,203,95,1983
2987,Nick Collison,208,115,1980
2988,Erik Daniels,203,97,1982
2989,Carlos Delfino,198,104,1982
2990,Luol Deng,206,99,1985
2991,Chris Duhon,185,83,1982
2992,Corsley Edwards,206,124,1979
2993,John Edwards,213,124,1981
2994,Andre Emmett,196,104,1982
2995,Luis Flores,188,90,1981
2996,Matt Freije,208,108,1981
2997,Ben Gordon,190,90,1983
2998,Devin Harris,190,87,1983
2999,David Harrison,213,127,1982
3000,Dwight Howard,211,120,1985
3001,Kris Humphries,206,106,1985
3002,Andre Iguodala,198,97,1984
3003,Didier Ilunga-Mbenga,198,97,1984
3004,Royal Ivey,190,90,1981
3005,Al Jefferson,208,131,1985
3006,Horace Jenkins,185,81,1974
3007,Mario Kasun,216,117,1980
3008,Viktor Khryapa,206,95,1982
3009,Brandin Knight,178,78,1975
3010,Nenad Krstic,213,108,1983
3011,Ibo Kutluay,198,90,1974
3012,Shaun Livingston,201,87,1985
3013,Kevin Martin,206,106,1977
3014,Jameer Nelson,183,86,1982
3015,Andres Nocioni,201,102,1979
3016,Emeka Okafor,208,114,1982
3017,Pavel Podkolzin,226,117,1985
3018,Peter John,226,117,1985
3019,Justin Reed,203,108,1982
3020,Jared Reiner,211,115,1982
3021,Bernard Robinson,198,95,1980
3022,Quinton Ross,198,88,1981
3023,Ha Seung-Jin,221,138,1985
3024,Donta Smith,188,86,1920
3025,J.R. Smith,188,86,1920
3026,Josh Smith,213,106,1944
3027,Kirk Snyder,198,102,1983
3028,Pape Sow,208,113,1981
3029,Awvee Storey,198,100,1977
3030,Robert Swift,213,111,1985
3031,Yuta Tabuse,175,74,1980
3032,Sebastian Telfair,183,74,1985
3033,Billy Thomas,193,94,1975
3034,James Thomas,198,97,1973
3035,Beno Udrih,190,92,1982
3036,Anderson Varejao,208,123,1982
3037,Jackson Vroman,208,99,1981
3038,Sasha Vujacic,201,88,1984
3039,Delonte West,193,81,1983
3040,Damien Wilkins,208,99,1960
3041,Dorell Wright,206,92,1985
3042,Alex Acker,196,83,1983
3043,Alan Anderson,198,99,1982
3044,Martynas Andriuskevicius,218,108,1986
3045,Earl Barron,213,113,1981
3046,Eddie Basden,196,97,1983
3047,Brandon Bass,203,113,1985
3048,Esteban Batista,208,122,1983
3049,Andray Blatche,211,106,1986
3050,Andrew Bogut,213,117,1984
3051,Kevin Burleson,190,92,1979
3052,Andrew Bynum,213,129,1987
3053,Will Bynum,183,83,1983
3054,Jose Calderon,190,90,1981
3055,Travis Diener,185,79,1982
3056,Ike Diogu,203,113,1983
3057,Monta Ellis,190,83,1985
3058,Daniel Ewing,190,83,1983
3059,Noel Felix,206,102,1981
3060,Raymond Felton,185,92,1984
3061,Gerald Fitch,190,85,1982
3062,Sharrod Ford,201,95,1972
3063,Channing Frye,211,115,1983
3064,Deng Gai,206,113,1982
3065,Francisco Garcia,201,88,1981
3066,Ryan Gomes,201,113,1982
3067,Joey Graham,201,102,1982
3068,Stephen Graham,198,97,1982
3069,Danny Granger,206,100,1983
3070,Devin Green,201,95,1982
3071,Gerald Green,201,92,1986
3072,Orien Greene,193,94,1982
3073,Anthony Grundy,190,81,1979
3074,Chuck Hayes,198,108,1983
3075,Luther Head,190,83,1982
3076,Julius Hodge,201,95,1983
3077,Randy Holcomb,206,102,1979
3078,Jarrett Jack,190,90,1983
3079,Sarunas Jasikevicius,193,88,1976
3080,Amir Johnson,206,108,1987
3081,Dwayne Jones,208,95,1952
3082,Linas Kleiza,203,111,1985
3083,Yaroslav Korolev,206,92,1987
3084,David Lee,201,102,1942
3085,Arvydas Macijauskas,193,97,1980
3086,Rawle Marshall,206,86,1982
3087,Jason Maxiell,201,117,1983
3088,Sean May,206,120,1984
3089,Rashad McCants,193,93,1984
3090,Aaron Miles,185,79,1983
3091,C.J. Miles,185,79,1983
3092,Sergei Monia,203,99,1983
3093,Boniface N'Dong,213,89,1977
3094,Fabricio Oberto,208,111,1975
3095,Andre Owens,193,90,1980
3096,Chris Paul,183,79,1985
3097,Johan Petro,213,112,1986
3098,Josh Powell,206,102,1983
3099,Ronnie Price,188,86,1983
3100,Shavlik Randolph,208,108,1983
3101,Anthony Roberson,196,83,1955
3102,Lawrence Roberts,206,108,1982
3103,Nate Robinson,175,81,1984
3104,Melvin Sanders,196,95,1981
3105,Alex Scales,193,83,1978
3106,Luke Schenscher,216,115,1982
3107,Wayne Simien,206,115,1983
3108,James Singleton,203,97,1981
3109,Salim Stoudamire,185,81,1982
3110,Chris Taft,208,117,1985
3111,Donell Taylor,198,81,1982
3112,Dijon Thompson,201,88,1983
3113,Ronny Turiaf,208,112,1983
3114,Charlie Villanueva,211,105,1984
3115,Von Wafer,196,95,1985
3116,Matt Walsh,198,92,1982
3117,Hakim Warrick,206,99,1982
3118,Martell Webster,216,102,1952
3119,Robert Whaley,208,117,1982
3120,Deron Williams,190,90,1984
3121,Lou Williams,206,90,1969
3122,Marvin Williams,185,89,1982
3123,Antoine Wright,201,95,1984
3124,Bracey Wright,211,102,1962
3125,Derrick Zimmerman,190,88,1981
3126,Hassan Adams,193,99,1984
3127,Maurice Ager,196,91,1984
3128,LaMarcus Aldridge,211,117,1985
